,price,z,position
2022-02-02,5.500999927520752,0.9366075136101113,-1
2022-02-03,4.888000011444092,1.494962545331746,-1
2022-02-04,4.572000026702881,1.0268343114740213,-1
2022-02-07,4.23199987411499,0.7603248225945006,-1
2022-02-08,4.248000144958496,0.4541137358567104,-1
2022-02-09,4.008999824523926,0.4635219353178797,-1
2022-02-10,3.9590001106262207,0.23255384920083189,-1
2022-02-11,3.940999984741211,0.17877061031031405,-1
2022-02-14,4.195000171661377,0.1564813442633822,-1
2022-02-15,4.306000232696533,0.3980275662152108,-1
2022-02-16,4.7170000076293945,0.496509850286332,-1
2022-02-17,4.486000061035156,0.8489560535719508,-1
2022-02-18,4.431000232696533,0.6455923283914814,-1
2022-02-22,4.498000144958496,0.591393674759133,-1
2022-02-23,4.623000144958496,0.6446981295866783,-1
2022-02-24,4.567999839782715,0.7466617574714143,-1
2022-02-25,4.46999979019165,0.6930293961921196,-1
2022-02-28,4.4019999504089355,0.6010002387701773,-1
2022-03-01,4.572999954223633,0.5342126844434854,-1
2022-03-02,4.76200008392334,0.680121836721072,-1
2022-03-03,4.7220001220703125,0.8352022260934687,-1
2022-03-04,5.015999794006348,0.7947841671961621,-1
2022-03-07,4.833000183105469,1.0296119323115946,-1
2022-03-08,4.5269999504089355,0.8732460583705487,-1
2022-03-09,4.526000022888184,0.60313177312993,-1
2022-03-10,4.63100004196167,0.5961595315480339,-1
2022-03-11,4.724999904632568,0.6832303446564892,-1
2022-03-14,4.6579999923706055,0.759016027324966,-1
2022-03-15,4.567999839782715,0.6944453192625067,-1
2022-03-16,4.748000144958496,0.607823368560677,-1
2022-03-17,4.989999771118164,0.7622107284488474,-1
2022-03-18,4.86299991607666,0.9637272272062988,-1
2022-03-21,4.900000095367432,0.8494276707586861,-1
2022-03-22,5.186999797821045,0.8752079040215218,-1
2022-03-23,5.23199987411499,1.1104825439329076,-1
2022-03-24,5.401000022888184,1.1409240335962583,-1
2022-03-25,5.571000099182129,1.2698578955409054,-1
2022-03-28,5.507999897003174,1.3952774405108657,-1
2022-03-29,5.335999965667725,1.3382819056615651,-1
2022-03-30,5.605000019073486,1.1934420645623876,-1
2022-03-31,5.642000198364258,1.3995563562829305,-1
2022-04-01,5.71999979019165,1.4196720511018408,-1
2022-04-04,5.711999893188477,1.4726811327440608,-1
2022-04-05,6.0320000648498535,1.4604687324504637,-1
2022-04-06,6.0289998054504395,1.6932384759592936,-1
2022-04-07,6.359000205993652,1.6823232340949972,-1
2022-04-08,6.2779998779296875,1.9089434903559226,-1
2022-04-11,6.64300012588501,1.8404329615373862,-1
2022-04-12,6.679999828338623,2.0779704821089826,-1
2022-04-13,6.997000217437744,2.0865869664253496,-1
2022-04-14,7.300000190734863,2.273353940280538,-1
2022-04-18,7.820000171661377,2.436691934314165,-1
2022-04-19,7.176000118255615,2.705715288943315,-1
2022-04-20,6.936999797821045,2.300697729966355,-1
2022-04-21,6.956999778747559,2.132491241960822,-1
2022-04-22,6.533999919891357,2.1259844852141967,-1
2022-04-25,6.669000148773193,1.8361729938832791,-1
2022-04-26,6.849999904632568,1.911491353259747,-1
2022-04-27,7.267000198364258,2.011502823091238,-1
2022-04-28,6.888000011444092,2.2472148918596613,-1
2022-04-29,7.24399995803833,1.9933930671630473,-1
2022-05-02,7.474999904632568,2.1911319271968956,-1
2022-05-03,7.953999996185303,2.3013084017733245,-1
2022-05-04,8.414999961853027,2.536576237729809,-1
2022-05-05,8.782999992370605,2.737463661465763,-1
2022-05-06,8.043000221252441,2.8721884261072383,-1
2022-05-09,7.026000022888184,2.46686524053683,-1
2022-05-10,7.385000228881836,1.8813979318527456,-1
2022-05-11,7.639999866485596,2.0709372988745725,-1
2022-05-12,7.738999843597412,2.1901128649970714,-1
2022-05-13,7.663000106811523,2.2198325525620564,-1
2022-05-16,7.955999851226807,2.156540682840278,-1
2022-05-17,8.303999900817871,2.284559999089497,-1
2022-05-18,8.368000030517578,2.430487666408986,-1
2022-05-19,8.307999610900879,2.431899507869449,-1
2022-05-20,8.083000183105469,2.375061773020978,-1
2022-05-23,8.744000434875488,2.2403642207299934,-1
2022-05-24,8.795999526977539,2.5279138940350134,-1
2022-05-25,8.970999717712402,2.520186577555753,-1
2022-05-26,8.907999992370605,2.564586802480695,-1
2022-05-27,8.72700023651123,2.504618991483731,-1
2022-05-31,8.145000457763672,2.394671648572045,-1
2022-06-01,8.696000099182129,2.100517638328443,-1
2022-06-02,8.484999656677246,2.330178949757752,-1
2022-06-03,8.52299976348877,2.210409277163013,-1
2022-06-06,9.321999549865723,2.2036614010205047,-1
2022-06-07,9.293000221252441,2.518032579285209,-1
2022-06-08,8.699000358581543,2.472971668601242,-1
2022-06-09,8.963000297546387,2.1955385162507652,-1
2022-06-10,8.850000381469727,2.2828374624066736,-1
2022-06-13,8.609000205993652,2.2081840896360028,-1
2022-06-14,7.189000129699707,2.080392550478297,-1
2022-06-15,7.420000076293945,1.3916726271971471,-1
2022-06-16,7.464000225067139,1.499471433777794,-1
2022-06-17,6.943999767303467,1.5102932287606916,-1
2022-06-21,6.808000087738037,1.2293920742726845,-1
2022-06-22,6.857999801635742,1.1469143175962109,-1
2022-06-23,6.238999843597412,1.1666814482091155,-1
2022-06-24,6.21999979019165,0.8001338813249514,-1
2022-06-27,6.500999927520752,0.7819721443323793,-1
2022-06-28,6.551000118255615,0.9440765885247865,-1
2022-06-29,6.498000144958496,0.9659688925323552,-1
2022-06-30,5.423999786376953,0.9273939862365337,-1
2022-07-01,5.730000019073486,0.22571090075691158,-1
2022-07-05,5.5229997634887695,0.43236246561794406,-1
2022-07-06,5.510000228881836,0.28434651768581415,-1
2022-07-07,6.296999931335449,0.26969783277264914,-1
2022-07-08,6.033999919891357,0.7843416766815045,-1
2022-07-11,6.426000118255615,0.6113336508988341,-1
2022-07-12,6.163000106811523,0.8514910993019973,-1
2022-07-13,6.689000129699707,0.6809219302974315,-1
2022-07-14,6.599999904632568,0.996116233840936,-1
2022-07-15,7.015999794006348,0.9359441600377333,-1
2022-07-18,7.479000091552734,1.1691089549260083,-1
2022-07-19,7.263999938964844,1.4110491177468454,-1
2022-07-20,8.006999969482422,1.2852517475203247,-1
2022-07-21,7.932000160217285,1.6554327772462274,-1
2022-07-22,8.298999786376953,1.6031422778381392,-1
2022-07-25,8.72700023651123,1.7632100957982857,-1
2022-07-26,8.993000030517578,1.9382878603980613,-1
2022-07-27,8.687000274658203,2.030619745691927,-1
2022-07-28,8.133999824523926,1.8757889326766968,-1
2022-07-29,8.229000091552734,1.6063248741362492,-1
2022-08-01,8.282999992370605,1.6352262615753972,-1
2022-08-02,7.705999851226807,1.6448739239887895,-1
2022-08-03,8.265999794006348,1.3569288540619338,-1
2022-08-04,8.121999740600586,1.6103048943856655,-1
2022-08-05,8.064000129699707,1.5290093925490273,-1
2022-08-08,7.589000225067139,1.4882238181082583,-1
2022-08-09,7.833000183105469,1.2472368177837436,-1
2022-08-10,8.20199966430664,1.3559239483473908,-1
2022-08-11,8.87399959564209,1.516728644435824,-1
2022-08-12,8.767999649047852,1.7959947017035154,-1
2022-08-15,8.727999687194824,1.7338357160109865,-1
2022-08-16,9.329000473022461,1.7007955534046661,-1
2022-08-17,9.244000434875488,1.9295569058378996,-1
2022-08-18,9.187999725341797,1.8762899084176525,-1
2022-08-19,9.336000442504883,1.8354120659029702,-1
2022-08-22,9.680000305175781,1.8758113359121067,-1
2022-08-23,9.192999839782715,1.9881439701041426,-1
2022-08-24,9.329999923706055,1.780391346347746,-1
2022-08-25,9.375,1.816825222458067,-1
2022-08-26,9.295999526977539,1.8165834743797928,-1
2022-08-29,9.352999687194824,1.7674972857239895,-1
2022-08-30,9.041999816894531,1.770973795874082,-1
2022-08-31,9.126999855041504,1.6325216719834839,-1
2022-09-01,9.26200008392334,1.6499806707147602,-1
2022-09-02,8.78600025177002,1.6854333762526448,-1
2022-09-06,8.145000457763672,1.4825428126291382,-1
2022-09-07,7.8420000076293945,1.201942985265417,-1
2022-09-08,7.914999961853027,1.0582709752998574,-1
2022-09-09,7.995999813079834,1.082806764530863,-1
2022-09-12,8.24899959564209,1.11037074597624,-1
2022-09-13,8.284000396728516,1.2110816674860776,-1
2022-09-14,9.11400032043457,1.2164017551223056,-1
2022-09-15,8.324000358581543,1.539289481009673,-1
2022-09-16,7.763999938964844,1.2109773289095154,-1
2022-09-19,7.751999855041504,0.9598482384035406,-1
2022-09-20,7.7170000076293945,0.9474090764360429,-1
2022-09-21,7.7789998054504395,0.9245864279443378,-1
2022-09-22,7.089000225067139,0.9451928660972401,-1
2022-09-23,6.828000068664551,0.6155983866802874,-1
2022-09-26,6.9029998779296875,0.48029980572747655,-1
2022-09-27,6.651000022888184,0.5143865058065861,-1
