date,no_tilt,hth_original,hth_tau_aware
2025-10-15,122921.29117820818,133615.47224928808,125337.61957680344
2025-10-16,122529.0174231533,135044.22627668135,125557.51147224432
2025-10-17,121534.41745954905,133806.81346153977,124508.933338119
2025-10-20,124425.5833489167,136763.59404640135,127372.74756856635
2025-10-21,122054.59199007679,132750.93329481108,124507.51759604758
2025-10-22,121268.34768216051,131782.09621068407,123671.33741173365
2025-10-23,122853.1175002347,133376.58294220202,125230.77367950731
2025-10-24,123438.1791779732,133611.37542459567,125693.96043335253
2025-10-27,124078.6013012747,132151.20352859798,125626.19649333315
2025-10-28,123537.2867849141,131655.23923109035,125114.65740872652
2025-10-29,122744.81976720979,131992.55872793106,124723.6461475314
2025-10-30,121886.73764870987,131844.93329701127,124113.25872419556
2025-10-31,122309.9169560605,131675.1749070737,124331.65878136396
2025-11-03,121498.95752647212,132061.38711858419,123943.58172604495
2025-11-04,119016.45220914939,130706.4823847634,121881.01964867486
2025-11-05,120136.75120589604,131351.4167373961,122821.66246894714
2025-11-06,118821.82711739889,130875.30008079614,121803.67930027797
2025-11-07,119710.22309083056,131228.7931206819,122496.27474672193
2025-11-10,122026.03621648384,133826.96542973485,124873.54906559986
2025-11-11,121046.131156252,133851.28204328523,124251.46483998613
2025-11-12,121308.18788979598,135555.65581251707,124987.66047013254
2025-11-13,119776.43580975846,134438.8380098877,123605.38608384684
2025-11-14,117148.5675111008,132746.31571285074,121337.5594297062
2025-11-17,115859.59653492199,132070.09377191943,120266.5295675271
2025-11-18,115845.08447579025,131605.67109208857,120098.19192641531
2025-11-19,115603.38746151527,132122.3881714036,120113.95792900764
2025-11-20,113104.12677788848,131148.47455913317,118145.48053367232
2025-11-21,112991.32944309727,131921.82298862792,118329.64057319344
2025-11-24,114908.55008464,132843.2412099936,119906.35459527669
2025-11-25,115182.49103177166,134027.4065674065,120477.15219457282
2025-11-26,116856.2382297716,134756.25910231663,121822.22163669011
2025-11-28,117536.22294885035,135850.47438586951,122627.38320926199
2025-12-01,115650.13222174057,135915.02500185126,121400.32479691836
2025-12-02,117393.30053882026,135110.71619531445,122299.74205329445
2025-12-03,118404.97307658267,135424.7837468193,123068.53355683529
2025-12-04,117984.16333319126,135661.67488959333,122870.10494425205
2025-12-05,116960.95967919915,135717.1340166792,122216.56945168404
2025-12-08,117170.8825633808,135150.61908377585,122169.67786440377
2025-12-09,118092.8087242987,135469.0738285744,122878.83162677681
2025-12-10,117965.85497511114,135536.1833279623,122822.5551713697
2025-12-11,118798.49944357862,137083.2272173114,123871.59017311914
2025-12-12,117599.0669413725,136806.61335421997,122981.71535846841
2025-12-15,116073.54822225639,136844.11159903844,121985.63276553036
2025-12-16,116554.77143492569,136708.71349428286,122259.42741741329
2025-12-17,115782.67402509361,136961.77795535582,121819.31228939192
2025-12-18,115759.75049770997,137206.63726461728,121890.0969249767
2025-12-19,117318.99337982673,137991.03612823292,123184.18915057108
2025-12-22,118182.29457840971,139570.29627793268,124264.4560565045
2025-12-23,118132.82932485624,140366.057408406,124488.55048303898
2025-12-24,118365.85580103425,140537.05790848983,124702.16311579301
2025-12-26,118537.38498317986,141315.9531727919,125062.87519720895
2025-12-29,117068.89170367026,137856.47453817716,122988.12899073958
2025-12-30,117860.23103226697,138573.31972387218,123740.54104803926
2025-12-31,116876.32347876646,137438.45025274553,122717.91699494202
