credit,rate,target,tau_past,tau_future,q,n_joint,cpe,lift,n_episodes,episode_hit_rate,episode_years,reliable_n>=3
HYG,TLT,DIA,21,126,0.2,318,0.48464163822525597,0.9694267039847603,29,0.5172413793103449,"[[2007], [2008], [2008], [2008], [2009], [2009], [2010], [2010], [2012], [2013], [2014], [2015], [2015], [2016], [2017], [2018], [2018], [2020], [2021], [2021], [2022], [2022], [2022, 2023], [2023], [2024], [2024], [2024], [2025], [2025]]",True
HYG,TLT,DIA,21,252,0.05,20,0.16666666666666666,0.3333835190203754,6,0.3333333333333333,"[[2009], [2013], [2013], [2016], [2022], [2023]]",True
HYG,TLT,DIA,21,252,0.1,100,0.43617021276595747,0.8724717625426845,11,0.45454545454545453,"[[2008], [2009], [2013], [2015], [2016], [2018], [2022], [2022], [2022, 2023], [2023], [2025]]",True
HYG,TLT,DIA,21,252,0.2,318,0.49828178694158076,0.9967136135660708,28,0.4642857142857143,"[[2007], [2008], [2008], [2008], [2009], [2009], [2010], [2010], [2012], [2013], [2014], [2015], [2015], [2016], [2017], [2018], [2018], [2020], [2021], [2021], [2022], [2022], [2022, 2023], [2023], [2024], [2024], [2024], [2025]]",True
HYG,TLT,DIA,63,21,0.05,37,0.17142857142857143,0.34290710746554526,2,0.0,"[[2009], [2022]]",False
HYG,TLT,DIA,63,21,0.1,110,0.42990654205607476,0.8599383847656197,3,0.0,"[[2009], [2013], [2022]]",True
HYG,TLT,DIA,63,21,0.2,256,0.46987951807228917,0.9398959873302596,10,0.3,"[[2009], [2013], [2015], [2016], [2018], [2018], [2020], [2021], [2021, 2022], [2023]]",True
HYG,TLT,DIA,63,63,0.05,37,0.25,0.5000732708089097,2,0.0,"[[2009], [2022]]",False
HYG,TLT,DIA,63,63,0.1,110,0.5384615384615384,1.0770808909730363,3,0.0,"[[2009], [2013], [2022]]",True
HYG,TLT,DIA,63,63,0.2,256,0.5473251028806584,1.0948106175734154,8,0.375,"[[2009], [2013], [2015], [2018], [2018], [2020], [2021], [2023]]",True
HYG,TLT,DIA,63,126,0.05,37,0.37142857142857144,0.7429670654885215,2,0.0,"[[2009], [2022]]",False
HYG,TLT,DIA,63,126,0.1,110,0.5981308411214953,1.1964386964013574,3,0.3333333333333333,"[[2009], [2013], [2022]]",True
HYG,TLT,DIA,63,126,0.2,256,0.5384615384615384,1.0770824322170873,10,0.4,"[[2009], [2013], [2015], [2016], [2018], [2018], [2020], [2021], [2021, 2022], [2023]]",True
HYG,TLT,DIA,63,252,0.05,37,0.23529411764705882,0.4706590856758241,2,0.0,"[[2009], [2022]]",False
HYG,TLT,DIA,63,252,0.1,110,0.5283018867924528,1.0567628527438315,3,0.0,"[[2009], [2013], [2022]]",True
HYG,TLT,DIA,63,252,0.2,256,0.5020408163265306,1.0042328042328044,7,0.5714285714285714,"[[2013], [2015], [2016], [2018], [2018], [2021, 2022], [2023]]",True
HYG,TLT,DIA,126,21,0.05,43,0.36585365853658536,0.7318139488593953,1,0.0,[[2022]],False
HYG,TLT,DIA,126,21,0.1,100,0.4639175257731959,0.9279702650485117,1,0.0,[[2022]],False
HYG,TLT,DIA,126,21,0.2,222,0.5622119815668203,1.1245878255590462,5,0.6,"[[2013], [2015], [2018], [2022, 2023], [2025]]",True
HYG,TLT,DIA,126,63,0.05,43,0.5952380952380952,1.1906506447831184,1,0.0,[[2022]],False
HYG,TLT,DIA,126,63,0.1,100,0.6907216494845361,1.3816457379050289,1,0.0,[[2022]],False
