Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
1997-05-01,48.65665054321289,80.0,80.53125,79.3125,80.21875,2149500
1997-05-02,49.53096008300781,81.4375,81.671875,80.0625,80.28125,1448300
1997-05-05,50.70940399169922,83.375,83.5625,81.296875,81.65625,3636200
1997-05-06,50.67136764526367,83.3125,83.46875,82.5,82.96875,1721100
1997-05-07,49.56899642944336,81.5,83.0,81.40625,83.0,2327200
1997-05-08,49.911109924316406,82.0625,83.21875,81.1875,81.3125,2923700
1997-05-09,50.25322723388672,82.625,83.125,81.65625,82.96875,2558200
1997-05-12,51.089500427246094,84.0,84.25,82.875,82.9375,2357900
1997-05-13,50.880428314208984,83.65625,84.09375,83.015625,83.9375,1195100
1997-05-14,50.975486755371094,83.8125,84.5,83.4375,84.234375,2772000
