,no_tilt_capped,no_tilt_uncapped,spy_bh,static_capped,hth_capped
2025-03-28,99686.78330460172,99175.2430259082,95329.01486658707,99686.78330460172,99686.78330460172
2025-03-31,100006.83057333357,99152.90287549359,95968.93677959136,100006.83057333357,100006.83057333357
2025-04-01,100711.54924380827,100196.61353860896,96239.98745151468,100711.54924380827,100711.54924380827
2025-04-02,100518.32302680933,99573.01257533186,96849.04653011821,100518.32302680933,100518.32302680933
2025-04-03,98478.71617293429,98110.13293116976,92076.23734388134,98478.71617293429,98478.71617293429
2025-04-04,96423.91530757709,96510.21638935157,86685.82195915027,96423.91530757709,96423.91530757709
2025-04-07,94765.2543965554,94177.09030485869,86531.41776172006,94875.3959734329,94966.93889216484
2025-04-08,93479.68947239482,92696.22223679184,85176.10085474377,93573.6000646324,93651.62674778624
2025-04-09,98670.03330031697,98033.06285419075,94121.23374657122,99112.23031921251,99480.25369574479
2025-04-10,96555.81928564164,96242.17733532848,89996.93595813584,96988.54129876973,97046.53434790342
2025-04-11,98204.8807268665,98443.84788093674,91602.72478369271,98650.48099316355,98714.03167985774
2025-04-14,98694.80249436495,98977.10461186864,92491.4134277901,99177.06413330075,99269.59554728943
2025-04-15,98667.43603127317,98822.3932895682,92232.34143318569,99131.0233119303,99208.08755508917
2025-04-16,98612.53218029389,99208.99837275397,90182.20828558011,98916.72707511514,98861.25914022201
2025-04-17,98574.51511622242,99304.61812996588,90310.88109791194,98891.8719706919,98847.44866765871
2025-04-21,98391.1396262071,100022.4645054304,88161.23278488782,98547.17027871632,98369.36807314519
2025-04-22,100405.08189077512,102669.62320537426,90455.00650989743,100604.81432432587,100456.90669078182
2025-04-23,100537.00134577685,102419.14768447271,91856.62825970151,100842.6786872689,100782.1290082142
2025-04-24,101754.1116835047,103540.48235904892,93790.13081965395,102063.48958347132,102124.45895540237
2025-04-25,101989.44517089523,103700.53734183157,94467.78927314209,102299.53858966414,102428.69762917324
2025-04-28,102369.87328290759,104195.36979673267,94503.81003491183,102681.12337287568,102764.23830517224
2025-04-29,102583.53845268217,104171.94716082719,95099.12170134918,102895.43818009908,103037.43948964172
2025-04-30,102417.89397997767,103990.31221887008,95136.86883305968,102729.29007429063,102899.17691002639
2025-05-01,102451.7848966171,104144.08579932002,95811.09572911961,102763.28403443804,103027.52225367265
2025-05-02,102977.3936104358,104682.28094261883,97233.32800594631,103290.4908332618,103691.83192132658
2025-05-05,102815.38570607956,104423.84538625715,96675.75287999281,103127.99035259195,103470.17428076643
2025-05-06,103441.05931921912,105613.03613358608,95867.70583545872,103755.56629267728,103897.11936315548
2025-05-07,103625.41139166974,105694.25903889097,96270.88205959536,103940.47887768199,104116.43556176474
2025-05-08,104283.74958953256,107089.29633548186,96941.67739822704,104600.81871740235,104786.57473458245
2025-05-09,104424.92543920552,107277.05047227863,96818.15192203755,104742.42380464787,104891.07902173887
2025-05-12,104914.99971056878,107217.2758405313,100017.75089583242,105233.98812045646,105786.75129266028
2025-05-13,105294.2260304069,107816.53518494655,100678.26215340607,105614.36745750933,106212.02233132723
2025-05-14,104780.5152122821,107116.7030587275,100806.93496573789,105099.09472929094,105782.5332792458
2025-05-15,105358.75549128237,107718.37319456134,101299.29990932849,105679.09311673748,106357.20142915468
2025-05-16,105385.13185086896,107554.1919052108,101940.9270098203,105705.54967222577,106471.59183436322
2025-05-19,105905.69103069748,108491.2054133193,102052.44203501099,106227.69158422304,106941.97929323364
2025-05-20,106130.38890219737,109053.68298202421,101709.32865709494,106453.07263750755,107089.32992991236
2025-05-21,105772.3931658227,109411.51156679018,99995.45636377558,106093.98843436445,106532.33064608615
2025-05-22,106101.38571318568,109947.53397223185,100034.8980917469,106423.98126586067,106824.44136449028
2025-05-23,105605.69836729638,109068.73929142639,99352.09230211642,105926.78680927507,106294.16750135763
2025-05-27,106529.7795006567,109838.99611836321,101417.68864060225,106853.6775615855,107397.86777089117
2025-05-28,106082.95232898243,109276.93932423572,100830.94527650882,106405.49183594486,106924.22231671923
2025-05-29,106136.66329154254,109012.71912061678,101228.95298204986,106459.36610379581,107028.26421469564
2025-05-30,105688.45297969511,108285.18012232849,101115.7433605983,106009.79303261878,106621.35916620704
2025-06-02,106439.11767610807,109467.43293302898,101685.31834632397,106762.74008463892,107357.39473306446
2025-06-03,106521.10930925077,109376.0656351096,102265.18800433431,106844.98100892923,107511.9172503639
2025-06-04,106768.82398698917,109510.87124180447,102237.72495368186,107093.4488498128,107724.10732448663
2025-06-05,105965.755511086,108259.1862093969,101743.63364015054,106287.93868743138,106953.14144523702
2025-06-06,106460.20527464195,109055.37076798569,102788.43696477893,106783.89179888116,107533.4796861137
2025-06-09,107435.81973372797,110893.41904901297,102881.07842411438,107762.47256122054,108398.40937532843
2025-06-10,107674.45343610534,111024.32900761244,103464.37963955295,108001.83181652625,108689.88482285923
2025-06-11,107338.43184814147,110498.01738134792,103169.30806563207,107664.78857300951,108354.65724168322
2025-06-12,107558.21017372522,110375.44081969965,103579.32622217188,107885.2351227633,108604.83342793297
2025-06-13,107360.98335259146,110433.42056330919,102421.3026848653,107687.40864409502,108268.00439192538
2025-06-16,107441.0940022529,110503.82124577758,103395.75908221508,107767.76286587505,108477.55420335631
2025-06-17,107048.43372809765,109779.44021848137,102512.23895671329,107373.90872928998,108009.14959316544
2025-06-18,107164.8405833899,109928.35136738601,102496.79694828627,107490.6695133605,108108.46316827707
2025-06-20,106650.94602576763,109184.58016826448,102256.06895820558,106975.2124869946,107625.92194974571
2025-06-23,107419.28739972215,110205.03907988578,103266.10128580662,107745.88996154297,108440.31193401098
2025-06-24,107562.51816653673,110188.78479224296,104406.9034886123,107889.55621379508,108727.78319688207
2025-06-25,107828.55232213532,110659.62907829357,104465.40942451824,108156.39923192529,108968.48779343526
2025-06-26,108124.66153879144,110827.3347011101,105282.72379235386,108453.40875271747,109342.77774973035
2025-06-27,107856.84541073351,110443.64159552315,105805.8032931724,108184.77834413659,109182.36678404252
2025-06-30,108270.3551772415,110829.96140991345,106311.6932331699,108599.54536483373,109614.9893886778
2025-07-01,108356.58907372926,110781.47445348752,106277.282337848,108686.0414508425,109685.63970426736
2025-07-02,108960.56450354499,111848.85139967373,106759.06664603489,109291.85323544542,110281.5401643961
2025-07-03,109218.65501501427,112124.09748024226,107600.47605445451,109550.72845722389,110625.22215546093
2025-07-07,108624.01142862129,111444.78376123468,106798.63546872578,108954.27688901138,109992.79765735999
2025-07-08,108526.03158042891,111401.61934841426,106740.14012404649,108855.99913836404,109898.86899314128
2025-07-09,109319.97510443642,112431.69646274831,107380.22090545023,109652.35660492469,110683.19283812804
2025-07-10,110191.83580893296,113926.54588017587,107683.06643971779,110526.86815496797,111488.53331935676
2025-07-11,110331.75746450874,114435.53848503713,107304.51481749667,110667.21523480669,111563.74736033121
2025-07-14,110705.84225292424,115098.57575285093,107509.26441071414,111042.43740788737,111921.43936075823
2025-07-15,110073.69310053972,114196.88512752924,107049.85936439713,110408.36624002854,111302.3524672148
2025-07-16,110452.55779545585,114725.757171193,107407.74750346247,110788.38285265832,111684.07939198641
2025-07-17,110745.05833400854,114993.00521889619,108065.04961936714,111081.77272335553,112028.0629730924
2025-07-18,110628.06940433139,114733.94217783248,107985.9013827587,110964.42809513427,111914.23272942717
2025-07-21,111000.25260888413,115091.19769192174,108190.66156720281,111337.74290268881,112270.307855612
2025-07-22,111639.16618445843,116141.98098692865,108206.14594053634,111978.59906060206,112838.15574615127
2025-07-23,111374.28903618648,115571.42323069375,109126.71417679102,111712.91656761701,112723.12958529271
2025-07-24,111190.55977349199,115285.00092382042,109162.84085082708,111528.62868598796,112564.94477635194
2025-07-25,111153.94993058535,114998.25881512852,109623.9828583115,111491.90753282438,112591.6344345138
2025-07-28,111083.60974216621,114905.02274057653,109596.45626029928,111421.35347884819,112525.72989961396
2025-07-29,111425.7192507261,115211.15341670637,109307.36872942453,111764.50315295585,112792.26177072806
2025-07-30,111242.53697415082,114958.39231761145,109169.72514813681,111580.76392052787,112612.23044850648
2025-07-31,110833.1455990322,114288.3217361275,108760.21537047524,111170.12781296746,112196.804485221
2025-08-01,110295.68369910913,113665.67698651126,106977.57424264518,110631.03178906495,111491.67640922077
2025-08-04,111346.01886859685,114848.53719569155,108603.61349351925,111684.56044610438,112632.12181990742
