,no_tilt,spy_bh,static_tilt,hold_to_horizon
2025-08-14,115885.48298071692,110974.70317293025,116117.18459336918,117370.35109208101
2025-08-15,115422.21166314033,110714.88979246173,115652.98701040872,116925.3249599123
2025-08-18,115050.1538186795,110690.79475187775,115280.18527292224,116592.13455451319
2025-08-19,113885.64068842857,110090.28279316488,114113.3438133302,115480.12113411861
2025-08-20,114502.79159329168,109797.76370486189,114731.72865066033,115989.91582952005
2025-08-21,113799.62944772709,109357.27458930665,114027.16060162196,115308.3375328305
2025-08-22,115814.06583747777,111036.66184871766,116045.62465858414,117315.85352531953
2025-08-25,113840.38008364651,110547.97206076779,114067.99271442542,115501.01796147553
2025-08-26,114537.62141565159,111010.84043819294,114766.62811182057,116180.59429681479
2025-08-27,114556.54557104482,111263.78011257839,114785.59010419915,116230.32706265614
2025-08-28,115317.02690114906,111657.8055169064,115547.59194184277,116957.14711227077
2025-08-29,114190.44459525253,110991.91391620456,114418.7571455536,115869.90266057143
2025-09-02,115414.86052603099,110169.43102977332,115645.62117542455,116851.0065454253
2025-09-03,116204.98830658602,110766.50083983132,116437.32873867752,117630.23537934416
2025-09-04,116049.25559766103,111692.21641222836,116281.28465753513,117614.47063349826
2025-09-05,116476.01234617757,111368.73916848493,116708.89466415008,117950.82321244653
2025-09-08,117313.86625640708,111642.32114357289,117548.42378077451,118729.79580167061
2025-09-09,117232.16304013669,111900.42933655393,117466.557206968,118691.53138547376
2025-09-10,118129.49486724474,112223.91717152398,118365.68316070932,119529.71382992298
2025-09-11,118826.91788487778,113156.52763245734,119064.50060699494,120271.17824667058
2025-09-12,119050.29881247612,113118.66399725393,119288.32816276299,120464.14795241394
2025-09-15,119274.07297811095,113720.89173468089,119512.54974280827,120742.18345624214
2025-09-16,119651.03767936512,113564.32163140479,119890.26814786509,121055.649905283
2025-09-17,119453.23230580217,113423.22531023559,119692.06728193445,120861.70686198465
2025-09-18,119391.7017778179,113953.18910836383,119630.41372971801,120877.43139286472
2025-09-19,119354.34519037743,114517.58498426728,119592.98245145923,120918.77661045144
2025-09-22,119097.19615760728,115059.36859131498,119335.31927451803,120761.8106643733
2025-09-23,119122.521736051,114433.04581330402,119360.69548896218,120702.53618953376
2025-09-24,119082.05187736577,114068.96180665995,119320.14471477935,120618.86561346217
2025-09-25,117792.27523230255,113542.70493785231,118027.78928831112,119405.71896379987
2025-09-26,118407.55387586338,114193.20748626029,118644.29812093684,120036.93588892292
2025-09-29,120370.67939771886,114514.13224438581,120611.34871897576,121821.50837186551
2025-09-30,120481.24798700289,114945.49172258572,120722.13837926701,121976.5660493409
2025-10-01,122201.36952627549,115337.17646582844,122445.69913218704,123553.13570894251
2025-10-02,122671.782844952,115470.01163022601,122917.05299597539,123987.29580319651
2025-10-03,123406.14528134618,115468.30644273854,123652.88371775275,124636.98935091277
2025-10-06,124709.79946591488,115882.40222153104,124959.14443050027,125845.47900607061
2025-10-07,124038.22763087915,115452.76911327185,124286.22985370613,125194.04920889212
2025-10-08,125330.29499952421,116141.22002669629,125580.88058383246,126428.80841514029
2025-10-09,124092.03744605041,115804.75793910409,124340.14725630448,125289.50215565591
2025-10-10,121209.44729110194,112674.80687163025,121451.79364617304,122319.90557483735
2025-10-13,123338.4156663687,114403.69752431141,123585.01868407906,124434.59961101762
2025-10-14,122882.22110532197,114263.93569769761,123127.91200692632,124012.68726460235
2025-10-15,122510.51614600819,114771.22367961034,122755.463860146,123752.6965404774
2025-10-16,122302.133529449,113989.60174551891,122546.66460306323,123463.5591960276
2025-10-17,121269.82454574514,114636.64096281878,121512.29161919189,122638.22502863423
2025-10-20,124057.0205892037,115828.91652704783,124305.06038670041,125264.94109978931
2025-10-21,121732.1292490727,115827.17956588045,121975.5206552533,123209.15464627669
2025-10-22,120999.35472169504,115225.01537581327,121241.28101736018,122480.06642179492
2025-10-23,122448.30601469391,115908.2871794155,122693.1293457996,123854.66259815474
2025-10-24,122953.26062624638,116855.55589800524,123199.09356437795,124427.78583453018
2025-10-27,123449.46585164304,118234.1840947949,123696.29090326435,125050.06481098711
2025-10-28,122926.99346164841,118548.21396438406,123172.77388117074,124627.9529377705
2025-10-29,122106.99947131521,118605.15239874869,122351.1403935939,123907.45608142963
2025-10-30,121325.28606622152,117300.71574450447,121567.86402951748,123043.3828534611
2025-10-31,121670.10952498637,117685.49500798422,121913.37692883537,123399.7945161292
2025-11-03,120888.18134270354,117906.35385690643,121129.88535814398,122734.1890336282
2025-11-04,118612.5941107592,116508.74618199523,118849.74831359315,120530.25638402102
2025-11-05,119574.0770321931,116912.4943323699,119813.15362545686,121437.71528060673
2025-11-06,118468.86616859563,115658.10122395397,118705.7330015613,120292.82800791187
2025-11-07,119292.29326295058,115771.9675014566,119530.80645731335,121039.67127707011
2025-11-10,121452.3688407561,117578.52361901796,121695.20089354663,123193.7064361599
2025-11-11,120555.21301069227,117847.67846137442,120796.25128873829,122431.94685353086
2025-11-12,120871.757690955,117913.24874544278,121113.42886892089,122721.90853976324
2025-11-13,119436.59850520002,115956.59376407646,119675.40022368575,121192.72801679772
2025-11-14,116859.69871651752,115937.62487718153,117093.34817760809,118900.68942874958
2025-11-17,115707.67567295568,114857.48922051436,115939.02177740364,117736.55603823901
2025-11-18,115732.03499718767,113892.97798497045,115963.4298057059,117635.29085312184
2025-11-19,115482.82250504018,114332.96931287409,115713.71903771887,117470.00807826068
2025-11-20,113227.42624364869,112590.26770066698,113453.81333357844,115238.4484671103
2025-11-21,113105.46825782895,113711.8044622321,113331.61150477453,115272.53529785121
2025-11-24,114896.97057975209,115385.47245926276,115126.69575919157,117082.29449895455
