,equal_weight,spy,struct_A,struct_B,struct_C
2025-04-25,98649.27319677775,94467.78927314209,100525.90959753908,104199.37046557973,102054.84051194308
2025-04-28,99013.4198150362,94503.81003491183,100896.98349236931,104584.00430169543,102431.55818907387
2025-04-29,99456.74172403524,95099.12170134918,101425.72441011225,105274.68860127566,103123.48107431375
2025-04-30,99203.9172553378,95136.86883305968,101245.52734710195,105147.99579054081,103096.94764576844
2025-05-01,99452.71279226351,95811.09572911961,101499.44307981252,105411.69860382828,103355.5065933845
2025-05-02,100361.5187594433,97233.32800594631,102662.93154399954,107379.51574247453,105224.15121458514
2025-05-05,100026.26722958863,96675.75287999281,102319.99228515883,107020.82102190136,104872.65635770775
2025-05-06,99616.68957758626,95867.70583545872,101901.02251497972,106582.60276380216,104443.23419151164
2025-05-07,99736.52849573638,96270.88205959536,102088.77249101514,106967.84905473466,104825.74921391033
2025-05-08,99979.91512826974,96941.67739822704,102337.8992947129,107228.88224852465,105081.55505043542
2025-05-09,100175.98590321078,96818.15192203755,102538.59431625607,107439.16898473118,105287.6306597647
2025-05-12,101762.68844661032,100017.75089583242,104162.71857050016,109140.91417996706,106955.29731510238
2025-05-13,101971.83106170442,100678.26215340607,104376.79372603788,109365.2205200785,107175.11177676907
2025-05-14,101793.85225566199,100806.93496573789,104194.61736485577,109174.3374971096,106988.05130886444
2025-05-15,101934.5274914107,101299.29990932849,104338.61036675863,109325.21228301065,107135.9047303301
2025-05-16,102202.16269742188,101940.9270098203,104612.55763632125,109612.252174514,107417.19646375293
2025-05-19,101964.0161492466,102052.44203501099,104368.79450216297,109356.83899338238,107166.8980955252
2025-05-20,102211.39338660355,101709.32865709494,104622.00602741742,109622.15212774024,107426.89816406096
2025-05-21,101144.63703699065,99995.45636377558,103530.09067883344,108478.05142657686,106305.70881384562
2025-05-22,101018.53330689429,100034.8980917469,103401.01284540327,108342.80464217767,106173.17043311999
2025-05-23,100841.73963978906,99352.09230211642,103220.04957416079,108153.19268573631,105987.35557781978
2025-05-27,101962.76247122849,101417.68864060225,104367.5112566771,109355.4944184004,107165.58044652033
2025-05-28,101296.33260723662,100830.94527650882,103685.36392517865,108640.74556788172,106465.1449005362
2025-05-29,101722.73040683278,101228.95298204986,104121.81813719288,109098.05901313988,106913.30035049995
2025-05-30,101566.15969878162,101115.7433605983,103961.55477497174,108930.13626589964,106748.74036406413
2025-06-02,102043.54116644525,101685.31834632397,104450.19508338014,109442.12991100385,107250.48100777238
2025-06-03,102477.13110335663,102265.18800433431,104894.01105623737,109907.15695398109,107706.19558570949
2025-06-04,102828.81117994852,102237.72495368186,105253.98535923657,110284.33532499334,108075.82071772845
2025-06-05,102669.01684669782,101743.63364015054,105090.422343974,110112.95522607911,107907.8726153052
2025-06-06,103202.76758619955,102788.43696477893,105636.7613697426,110685.40515387377,108468.85886583566
2025-06-09,103267.7195414935,102881.07842411438,105647.43656320318,110365.22733755347,108155.09281581183
2025-06-10,103677.13695873605,103464.37963955295,106204.21333636859,111763.34263115689,109525.20995319965
2025-06-11,103652.3046510193,103169.30806563207,106146.08113787863,111507.20037810065,109274.19711318058
2025-06-12,103939.7223007336,103579.32622217188,106440.41378460317,111816.39888137368,109577.20371794862
