Y,tau_future,score_raw,score_norm,direction,n_bull_sets,n_bear_sets,n_bull_firing,n_bear_firing,bull_weight_total,bear_weight_total,bull_weight_fired,bear_weight_fired,top_bull_conditions,top_bear_conditions,latest_date
TLH,252,0.0,0.0,NEUTRAL,1,0,0,0,8.6859,0.0,0.0,0.0,,,2026-06-16
TLH,300,0.0,0.0,NEUTRAL,1,1,0,0,8.9614,8.2299,0.0,0.0,,,2026-06-16
TLT,252,0.0,0.0,NEUTRAL,0,1,0,0,0.0,8.0397,0.0,0.0,,,2026-06-16
TLT,300,0.0,0.0,NEUTRAL,0,2,0,0,0.0,20.7232,0.0,0.0,,,2026-06-16
TSLA,126,0.0,0.0,NEUTRAL,1,0,0,0,8.8456,0.0,0.0,0.0,,,2026-06-16
TSLA,300,0.0,0.0,NEUTRAL,1,0,0,0,9.6177,0.0,0.0,0.0,,,2026-06-16
UGA,126,0.0,0.0,NEUTRAL,0,1,0,0,0.0,7.9625,0.0,0.0,,,2026-06-16
UNG,63,0.0,0.0,NEUTRAL,0,4,0,0,0.0,36.2475,0.0,0.0,,,2026-06-16
UNG,252,0.0,0.0,NEUTRAL,0,1,0,0,0.0,8.0495,0.0,0.0,,,2026-06-16
UNG,300,0.0,0.0,NEUTRAL,0,1,0,0,0.0,7.8202,0.0,0.0,,,2026-06-16
USMV,126,0.0,0.0,NEUTRAL,1,0,0,0,7.966,0.0,0.0,0.0,,,2026-06-16
USMV,252,0.0,0.0,NEUTRAL,6,1,0,0,60.947,7.7254,0.0,0.0,,,2026-06-16
USMV,300,0.0,0.0,NEUTRAL,8,0,0,0,92.9675,0.0,0.0,0.0,,,2026-06-16
UUP,126,0.0,0.0,NEUTRAL,0,1,0,0,0.0,8.8152,0.0,0.0,,,2026-06-16
VCIT,63,0.0,0.0,NEUTRAL,1,0,0,0,8.708,0.0,0.0,0.0,,,2026-06-16
VCIT,126,0.0,0.0,NEUTRAL,1,0,0,0,7.2266,0.0,0.0,0.0,,,2026-06-16
VCIT,252,0.0,0.0,NEUTRAL,4,0,0,0,50.4073,0.0,0.0,0.0,,,2026-06-16
VCIT,300,0.0,0.0,NEUTRAL,4,0,0,0,54.6986,0.0,0.0,0.0,,,2026-06-16
VCLT,252,0.0,0.0,NEUTRAL,1,0,0,0,9.608,0.0,0.0,0.0,,,2026-06-16
VCLT,300,0.0,0.0,NEUTRAL,2,0,0,0,20.6962,0.0,0.0,0.0,,,2026-06-16
VCSH,63,0.0,0.0,NEUTRAL,2,0,0,0,17.671,0.0,0.0,0.0,,,2026-06-16
VCSH,126,0.0,0.0,NEUTRAL,1,0,0,0,7.8518,0.0,0.0,0.0,,,2026-06-16
VCSH,252,0.0,0.0,NEUTRAL,3,0,0,0,34.1898,0.0,0.0,0.0,,,2026-06-16
VCSH,300,0.0,0.0,NEUTRAL,2,0,0,0,18.4173,0.0,0.0,0.0,,,2026-06-16
VT,252,0.0,0.0,NEUTRAL,4,0,0,0,45.5492,0.0,0.0,0.0,,,2026-06-16
VT,300,0.0,0.0,NEUTRAL,4,0,0,0,48.2584,0.0,0.0,0.0,,,2026-06-16
VTI,63,0.0,0.0,NEUTRAL,4,0,0,0,52.4214,0.0,0.0,0.0,,,2026-06-16
VTI,126,0.0,0.0,NEUTRAL,15,3,0,0,224.8996,21.3837,0.0,0.0,,,2026-06-16
VTI,252,0.0,0.0,NEUTRAL,18,0,0,0,376.9226,0.0,0.0,0.0,,,2026-06-16
VTI,300,0.0,0.0,NEUTRAL,18,0,0,0,371.6922,0.0,0.0,0.0,,,2026-06-16
VTV,252,0.0,0.0,NEUTRAL,7,0,0,0,75.3435,0.0,0.0,0.0,,,2026-06-16
VTV,300,0.0,0.0,NEUTRAL,13,0,0,0,187.1407,0.0,0.0,0.0,,,2026-06-16
VUG,126,0.0,0.0,NEUTRAL,4,0,0,0,42.7011,0.0,0.0,0.0,,,2026-06-16
VUG,252,0.0,0.0,NEUTRAL,6,0,0,0,67.1979,0.0,0.0,0.0,,,2026-06-16
VUG,300,0.0,0.0,NEUTRAL,5,0,0,0,49.1664,0.0,0.0,0.0,,,2026-06-16
VWO,252,0.0,0.0,NEUTRAL,2,0,0,0,19.3345,0.0,0.0,0.0,,,2026-06-16
VWO,300,0.0,0.0,NEUTRAL,2,0,0,0,20.0231,0.0,0.0,0.0,,,2026-06-16
WEAT,252,0.0,0.0,NEUTRAL,2,0,0,0,38.3774,0.0,0.0,0.0,,,2026-06-16
WEAT,300,0.0,0.0,NEUTRAL,1,0,0,0,8.6901,0.0,0.0,0.0,,,2026-06-16
XBI,126,0.0,0.0,NEUTRAL,2,0,0,0,18.7096,0.0,0.0,0.0,,,2026-06-16
XBI,252,0.0,0.0,NEUTRAL,4,0,0,0,38.9003,0.0,0.0,0.0,,,2026-06-16
XBI,300,0.0,0.0,NEUTRAL,8,2,0,0,93.1792,16.7323,0.0,0.0,,,2026-06-16
XLC,63,0.0,0.0,NEUTRAL,1,0,0,0,7.0385,0.0,0.0,0.0,,,2026-06-16
XLC,126,0.0,0.0,NEUTRAL,1,0,0,0,8.5172,0.0,0.0,0.0,,,2026-06-16
XLC,252,0.0,0.0,NEUTRAL,2,0,0,0,20.2873,0.0,0.0,0.0,,,2026-06-16
XLE,252,0.0,0.0,NEUTRAL,2,5,0,0,21.2075,73.2458,0.0,0.0,,,2026-06-16
XLE,300,0.0,0.0,NEUTRAL,2,4,0,0,20.8081,53.6569,0.0,0.0,,,2026-06-16
XLF,252,0.0,0.0,NEUTRAL,9,2,0,0,124.0037,18.6547,0.0,0.0,,,2026-06-16
XLF,300,0.0,0.0,NEUTRAL,11,2,0,0,194.9414,19.3118,0.0,0.0,,,2026-06-16
XLI,63,0.0,0.0,NEUTRAL,2,0,0,0,18.2814,0.0,0.0,0.0,,,2026-06-16
XLI,126,0.0,0.0,NEUTRAL,1,2,0,0,8.9318,17.4637,0.0,0.0,,,2026-06-16
XLI,252,0.0,0.0,NEUTRAL,3,5,0,0,35.4575,69.1477,0.0,0.0,,,2026-06-16
XLI,300,0.0,0.0,NEUTRAL,4,5,0,0,53.6465,76.1525,0.0,0.0,,,2026-06-16
XLK,63,0.0,0.0,NEUTRAL,3,0,0,0,24.6535,0.0,0.0,0.0,,,2026-06-16
XLK,126,0.0,0.0,NEUTRAL,7,5,0,0,80.7145,71.5825,0.0,0.0,,,2026-06-16
XLK,252,0.0,0.0,NEUTRAL,3,5,0,0,44.0495,77.0666,0.0,0.0,,,2026-06-16
XLK,300,0.0,0.0,NEUTRAL,0,5,0,0,0.0,77.8536,0.0,0.0,,,2026-06-16
XLP,63,0.0,0.0,NEUTRAL,1,0,0,0,7.1929,0.0,0.0,0.0,,,2026-06-16
XLP,126,0.0,0.0,NEUTRAL,3,1,0,0,29.8416,8.7943,0.0,0.0,,,2026-06-16
XLP,252,0.0,0.0,NEUTRAL,7,4,0,0,131.5505,47.2104,0.0,0.0,,,2026-06-16
XLP,300,0.0,0.0,NEUTRAL,12,5,0,0,187.2035,69.243,0.0,0.0,,,2026-06-16
XLRE,252,0.0,0.0,NEUTRAL,0,2,0,0,0.0,15.1677,0.0,0.0,,,2026-06-16
XLRE,300,0.0,0.0,NEUTRAL,0,1,0,0,0.0,7.268,0.0,0.0,,,2026-06-16
XLU,63,0.0,0.0,NEUTRAL,0,1,0,0,0.0,7.5491,0.0,0.0,,,2026-06-16
