,no_tilt,spy_bh,static_tilt,hold_to_horizon
2025-10-27,124078.6013012747,118234.1840947949,124993.72328147481,133248.9482891604
2025-10-28,123537.2867849141,118548.21396438406,124448.41638603412,132891.24596905394
2025-10-29,122744.81976720979,118605.15239874869,123858.5988664029,133185.6063897466
2025-10-30,121886.73764870987,117300.71574450447,123088.67374883125,132817.2643530826
2025-10-31,122309.9169560605,117685.49500798422,123429.5941161955,132747.40398140324
2025-11-03,121498.95752647212,117906.35385690643,122834.79782966575,133113.38100014618
2025-11-04,119016.45220914939,116508.74618199523,120603.68923582905,131712.30968315143
2025-11-05,120136.75120589604,116912.4943323699,121600.07887166615,132362.20700751827
2025-11-06,118821.82711739889,115658.10122395397,120417.06546288014,131882.42648420192
2025-11-07,119710.22309083056,115771.9675014566,121181.59565625396,132238.63976368727
2025-11-10,122026.03621648384,117578.52361901796,123462.21964486701,134856.80582199185
2025-11-11,121046.131156252,117847.67846137442,122688.33542000265,134881.3095594956
2025-11-12,121308.18788979598,117913.24874544278,123115.24990934342,136598.79901841987
2025-11-13,119776.43580975846,115956.59376407646,121632.49833636549,135473.3869531899
2025-11-14,117148.5675111008,115937.62487718153,119294.09372041968,133767.84016724906
2025-11-17,115859.59653492199,114857.48922051436,118120.55633835851,133086.41448679735
2025-11-18,115845.08447579025,113892.97798497045,118009.11524684439,132618.41792906204
2025-11-19,115603.38746151527,114332.96931287409,117905.20545942351,133139.1113080558
2025-11-20,113104.12677788848,112590.26770066698,115676.3911903776,132157.70312566444
2025-11-21,112991.32944309727,113711.8044622321,115729.94680488398,132937.00271341362
2025-11-24,114908.55008464,115385.47245926276,117488.31521850606,133865.51153643406
2025-11-25,115182.49103177166,116470.77663452554,117900.24590394963,135058.78941696408
2025-11-26,116856.2382297716,117274.84137784663,119389.60790261009,135793.2507002908
2025-11-28,117536.22294885035,117914.97511538354,120098.76552843605,136895.88631298445
2025-12-01,115650.13222174057,117376.64424821732,118532.08105610171,136960.93366616315
2025-12-02,117393.30053882026,117594.050357258,119770.55710987255,136430.66569447392
2025-12-03,118404.97307658267,118001.25124751416,120644.20114003032,136769.3122178048
2025-12-04,117984.16333319126,118087.51678841816,120306.45950976406,136694.84924193274
2025-12-05,116960.95967919915,118311.82837722183,119485.05474904855,136529.49402878765
2025-12-08,117170.8825633808,117956.38681150808,119572.57776572698,135998.41754067864
2025-12-09,118092.8087242987,117854.57334991076,120359.8769577818,136260.65852496726
2025-12-10,117965.85497511114,118636.21646645546,120337.38006361177,136475.67782139566
2025-12-11,118798.49944357862,118912.2767885749,121122.37928992591,137473.3717794677
2025-12-12,117599.0669413725,117633.72509221522,120040.80839407699,136859.38351889863
2025-12-15,116073.54822225639,117456.00430935834,118793.47095011173,136915.05315537966
2025-12-16,116554.77143492569,117135.07955123283,119181.54537386853,137064.69685231452
2025-12-17,115782.67402509361,115846.16963522867,118567.90933388796,137196.81392564496
2025-12-18,115759.75049770997,116720.96258998707,118664.82333569629,137574.15223817262
2025-12-19,117318.99337982673,117778.85667073056,119934.41381613289,137942.97463187054
2025-12-22,118182.29457840971,118512.60626045293,120847.9370470962,138918.28213312337
2025-12-23,118132.82932485624,119054.26277278103,120930.40737727017,139527.37607026217
2025-12-24,118365.85580103425,119473.05046497076,121205.64205837541,139914.27319949615
2025-12-26,118537.38498317986,119460.93410170566,121383.71148322955,140292.48659597227
2025-12-29,117068.89170367026,119035.21974729972,119879.95665870438,138131.04045601268
2025-12-30,117860.23103226697,118889.86575302514,120525.23275405263,138512.7142989408
2025-12-31,116876.32347876646,118009.01461663417,119542.71257960083,137388.24191623498
