Date,Cash,Shares,Price,Portfolio
2025-09-30,31.22564697265625,173,664.21728515625,114940.8159790039
2025-10-01,31.22564697265625,173,666.4806518554688,115332.37841796875
2025-10-02,31.22564697265625,173,667.248291015625,115465.17999267578
2025-10-03,31.22564697265625,173,667.2384033203125,115463.46942138672
2025-10-06,31.22564697265625,173,669.6312866210938,115877.43823242188
2025-10-07,31.22564697265625,173,667.1486206054688,115447.93701171875
2025-10-08,31.22564697265625,173,671.1268920898438,116136.17797851562
2025-10-09,31.22564697265625,173,669.1826171875,115799.81842041016
2025-10-10,31.22564697265625,173,651.0960693359375,112670.84564208984
2025-10-13,31.22564697265625,173,661.0865478515625,114399.19842529297
2025-10-14,31.22564697265625,173,660.2789306640625,114259.48065185547
2025-10-15,31.22564697265625,173,663.2102661132812,114766.60168457031
2025-10-16,31.22564697265625,173,658.6936645507812,113985.22961425781
2025-10-17,31.22564697265625,173,662.4326171875,114632.06842041016
2025-10-20,31.22564697265625,173,669.3222045898438,115823.96704101562
2025-10-21,31.22564697265625,173,669.3121948242188,115822.2353515625
2025-10-22,31.22564697265625,173,665.83251953125,115220.2515258789
2025-10-23,31.22564697265625,173,669.7808837890625,115903.31854248047
2025-10-24,31.22564697265625,173,675.2546997070312,116850.28869628906
2025-10-27,31.22564697265625,173,683.2211303710938,118228.48120117188
2025-10-28,31.22564697265625,173,685.0357666015625,118542.41326904297
2025-10-29,31.22564697265625,173,685.3648071289062,118599.33728027344
2025-10-30,31.22564697265625,173,677.8270874023438,117295.31176757812
2025-10-31,31.22564697265625,173,680.050537109375,117679.96856689453
2025-11-03,31.22564697265625,173,681.3267822265625,117900.75897216797
2025-11-04,31.22564697265625,173,673.2506103515625,116503.58123779297
2025-11-05,31.22564697265625,173,675.583740234375,116907.21270751953
2025-11-06,31.22564697265625,173,668.3351440429688,115653.20556640625
2025-11-07,31.22564697265625,173,668.9931640625,115767.04302978516
2025-11-10,31.22564697265625,173,679.432373046875,117573.02618408203
2025-11-11,31.22564697265625,173,680.9877319335938,117842.10327148438
2025-11-12,31.22564697265625,173,681.3666381835938,117907.65405273438
2025-11-13,31.22564697265625,173,670.0599975585938,115951.60522460938
2025-11-14,31.22564697265625,173,669.9503784179688,115932.64111328125
2025-11-17,31.22564697265625,173,663.7088012695312,114852.84826660156
2025-11-18,31.22564697265625,173,658.1353149414062,113888.63513183594
2025-11-19,31.22564697265625,173,660.6777954101562,114328.48425292969
2025-11-20,31.22564697265625,173,650.6075439453125,112586.33074951172
2025-11-21,31.22564697265625,173,657.08837890625,113707.5151977539
2025-11-24,31.22564697265625,173,666.759765625,115380.66510009766
2025-11-25,31.22564697265625,173,673.03125,116465.63189697266
2025-11-26,31.22564697265625,173,677.6775512695312,117269.44201660156
2025-11-28,31.22564697265625,173,681.3765869140625,117909.37518310547
2025-12-01,31.22564697265625,173,678.2658081054688,117371.21044921875
2025-12-02,31.22564697265625,173,679.5220947265625,117588.54803466797
2025-12-03,31.22564697265625,173,681.8751220703125,117995.62176513672
2025-12-04,31.22564697265625,173,682.3736572265625,118081.86834716797
2025-12-05,31.22564697265625,173,683.6697998046875,118306.1010131836
2025-12-08,31.22564697265625,173,681.6159057617188,117950.77734375
2025-12-09,31.22564697265625,173,681.027587890625,117848.99835205078
2025-12-10,31.22564697265625,173,685.5443115234375,118630.39154052734
2025-12-11,31.22564697265625,173,687.1395263671875,118906.3637084961
2025-12-12,31.22564697265625,173,679.7514038085938,117628.21850585938
2025-12-15,31.22564697265625,173,678.7244262695312,117450.55139160156
2025-12-16,31.22564697265625,173,676.8699340820312,117129.72424316406
2025-12-17,31.22564697265625,173,669.4219360351562,115841.22058105469
2025-12-18,31.22564697265625,173,674.4769287109375,116715.73431396484
2025-12-19,31.22564697265625,173,680.5900268554688,117773.30029296875
2025-12-22,31.22564697265625,173,684.8300170898438,118506.81860351562
2025-12-23,31.22564697265625,173,687.9600219726562,119048.30944824219
2025-12-24,31.22564697265625,173,690.3800048828125,119466.96649169922
2025-12-26,31.22564697265625,173,690.3099975585938,119454.85522460938
2025-12-29,31.22564697265625,173,687.8499755859375,119029.27142333984
2025-12-30,31.22564697265625,173,687.010009765625,118883.95733642578
2025-12-31,31.22564697265625,173,681.9199829101562,118003.38269042969
2026-01-02,31.22564697265625,173,683.1699829101562,118219.63269042969
2026-01-05,31.22564697265625,173,687.719970703125,119006.78057861328
2026-01-06,31.22564697265625,173,691.8099975585938,119714.35522460938
2026-01-07,31.22564697265625,173,689.5800170898438,119328.56860351562
2026-01-08,31.22564697265625,173,689.510009765625,119316.45733642578
