threshold,uncond_prob,cpe_train,lift_train,n_cond_train,n_cond_oos,hit_rate_oos,calibration_err,direction,temp_predictor,ticker,instrument,horizon,q_target,region,asset_class
-0.020990513444169114,0.5,0.7044776119402985,1.408955223880597,335,30,0.0,-0.7044776119402985,D1_tail_to_median,Europe_tmax_q90_exceed,CANE,Sugar ETF,126,0.5,Europe,Agricultural
-0.004753872020978338,0.5,0.7037037037037037,1.4074074074074074,189,22,0.22727272727272727,-0.4764309764309764,D1_tail_to_median,Europe_tmax_q95_exceed,CANE,Sugar ETF,63,0.5,Europe,Agricultural
-0.00128601926161488,0.4498546511627907,0.6329787234042553,1.4070738665658404,188,46,0.0,-0.6329787234042553,D1_tail_to_median,Asia_tmax_q95_exceed,CANE,Sugar ETF,126,0.55,Asia,Agricultural
-0.004753872020978338,0.5,0.7032258064516129,1.4064516129032258,155,16,0.125,-0.5782258064516129,D1_tail_to_median,North_America_tmax_q95_exceed,CANE,Sugar ETF,63,0.5,North America,Agricultural
0.04535768827465203,0.45,0.6326530612244898,1.4058956916099774,245,22,0.0,-0.6326530612244898,D1_tail_to_median,Europe_tmax_q95_exceed,FXI,China equities,126,0.55,Europe,Equities
0.049105291277840184,0.4500096320554806,0.6199261992619927,1.3775842895415258,271,22,0.8636363636363636,0.24371016437437099,D1_tail_to_median,Europe_tmax_q95_exceed,EFA,Developed market equities,126,0.55,Europe,Equities
0.044941461927349435,0.4500113352981183,0.6166666666666667,1.370335852225021,240,46,0.9347826086956522,0.3181159420289855,D1_tail_to_median,Asia_tmax_q95_exceed,GLD,Gold ETF,126,0.55,Asia,Metals
-0.004753872020978338,0.5,0.6846846846846847,1.3693693693693694,333,55,0.09090909090909091,-0.5937755937755937,D1_tail_to_median,Asia_tmax_q90_exceed,CANE,Sugar ETF,63,0.5,Asia,Agricultural
0.008584851752618382,0.5,0.6810344827586207,1.3620689655172413,232,46,1.0,0.31896551724137934,D1_tail_to_median,Asia_tmax_q95_exceed,DBB,Base metals ETF,126,0.5,Asia,Metals
-0.004753872020978338,0.5,0.6805970149253732,1.3611940298507463,335,30,0.16666666666666666,-0.5139303482587065,D1_tail_to_median,Europe_tmax_q90_exceed,CANE,Sugar ETF,63,0.5,Europe,Agricultural
-0.004753872020978338,0.5,0.6793103448275862,1.3586206896551725,290,29,0.13793103448275862,-0.5413793103448277,D1_tail_to_median,North_America_tmax_q90_exceed,CANE,Sugar ETF,63,0.5,North America,Agricultural
0.049105291277840184,0.4500096320554806,0.6101364522417154,1.3558297618093942,513,30,0.8666666666666667,0.2565302144249513,D1_tail_to_median,Europe_tmax_q90_exceed,EFA,Developed market equities,126,0.55,Europe,Equities
-0.005276347740976788,0.5,0.6772486772486772,1.3544973544973544,189,22,0.5454545454545454,-0.1317941317941318,D1_tail_to_median,Europe_tmax_q95_exceed,CANE,Sugar ETF,42,0.5,Europe,Agricultural
0.06152271552274858,0.44995458673932787,0.6055045871559633,1.345701555225506,545,30,0.5666666666666667,-0.038837920489296685,D1_tail_to_median,Europe_tmax_q90_exceed,EWY,South Korea equities,126,0.55,Europe,Equities
0.0073736835000583305,0.5,0.6728110599078341,1.3456221198156681,217,22,1.0,0.3271889400921659,D1_tail_to_median,Europe_tmax_q95_exceed,DBB,Base metals ETF,63,0.5,Europe,Metals
0.040621524384592954,0.4500092404361486,0.6045627376425855,1.3434451636074045,263,47,0.9787234042553191,0.3741606666127336,D1_tail_to_median,Asia_tmax_q95_exceed,GC=F,Gold futures,126,0.55,Asia,Metals
0.06152271552274858,0.44995458673932787,0.6042402826855123,1.3428917061702645,283,22,0.5454545454545454,-0.05878573723096692,D1_tail_to_median,Europe_tmax_q95_exceed,EWY,South Korea equities,126,0.55,Europe,Equities
0.03301874175749807,0.4998866470188166,0.6708333333333333,1.3419708994708994,240,46,0.9782608695652174,0.3074275362318841,D1_tail_to_median,Asia_tmax_q95_exceed,GLD,Gold ETF,126,0.5,Asia,Metals
0.002823663978620994,0.4498546511627907,0.6031746031746031,1.3408210888017025,189,22,0.45454545454545453,-0.1486291486291486,D1_tail_to_median,Europe_tmax_q95_exceed,CANE,Sugar ETF,42,0.55,Europe,Agricultural
0.002823663978620994,0.4498546511627907,0.601063829787234,1.3361289657305881,188,46,0.2608695652173913,-0.34019426456984275,D1_tail_to_median,Asia_tmax_q95_exceed,CANE,Sugar ETF,42,0.55,Asia,Agricultural
0.05677160592567042,0.450018443378827,0.600375234521576,1.334112508842617,533,56,0.26785714285714285,-0.3325180916644332,D1_tail_to_median,Asia_tmax_q90_exceed,NG=F,Natural gas futures,126,0.55,Asia,Energy
0.002823663978620994,0.4498546511627907,0.6,1.3337641357027463,335,30,0.3333333333333333,-0.26666666666666666,D1_tail_to_median,Europe_tmax_q90_exceed,CANE,Sugar ETF,42,0.55,Europe,Agricultural
0.04535768827465203,0.45,0.6,1.3333333333333333,240,46,0.0,-0.6,D1_tail_to_median,Asia_tmax_q95_exceed,FXI,China equities,126,0.55,Asia,Equities
-0.005276347740976788,0.5,0.6645161290322581,1.3290322580645162,155,16,0.3125,-0.3520161290322581,D1_tail_to_median,North_America_tmax_q95_exceed,CANE,Sugar ETF,42,0.5,North America,Agricultural
0.030585628345748496,0.5,0.6612244897959184,1.3224489795918368,245,22,0.0,-0.6612244897959184,D1_tail_to_median,Europe_tmax_q95_exceed,FXI,China equities,126,0.5,Europe,Equities
-0.020990513444169114,0.5,0.6606606606606606,1.3213213213213213,333,55,0.0,-0.6606606606606606,D1_tail_to_median,Asia_tmax_q90_exceed,CANE,Sugar ETF,126,0.5,Asia,Agricultural
-0.020990513444169114,0.5,0.6595744680851063,1.3191489361702127,188,46,0.0,-0.6595744680851063,D1_tail_to_median,Asia_tmax_q95_exceed,CANE,Sugar ETF,126,0.5,Asia,Agricultural
0.030585628345748496,0.5,0.6583333333333333,1.3166666666666667,240,46,0.0,-0.6583333333333333,D1_tail_to_median,Asia_tmax_q95_exceed,FXI,China equities,126,0.5,Asia,Equities
0.01660229833554329,0.49990776609481646,0.6566604127579737,1.3135631356313562,533,31,0.3548387096774194,-0.30182170308055434,D1_tail_to_median,Europe_tmax_q90_exceed,HG=F,Copper futures,126,0.5,Europe,Metals
-0.005276347740976788,0.5,0.6567164179104478,1.3134328358208955,335,30,0.4,-0.25671641791044775,D1_tail_to_median,Europe_tmax_q90_exceed,CANE,Sugar ETF,42,0.5,Europe,Agricultural
-0.005276347740976788,0.5,0.6542553191489362,1.3085106382978724,188,46,0.2608695652173913,-0.3933857539315449,D1_tail_to_median,Asia_tmax_q95_exceed,CANE,Sugar ETF,42,0.5,Asia,Agricultural
0.030585628345748496,0.5,0.6481876332622601,1.2963752665245203,469,55,0.0,-0.6481876332622601,D1_tail_to_median,Asia_tmax_q90_exceed,FXI,China equities,126,0.5,Asia,Equities
0.04351991997371086,0.49990917347865577,0.6458715596330276,1.2919778109665032,545,30,0.6666666666666666,0.02079510703363907,D1_tail_to_median,Europe_tmax_q90_exceed,EWY,South Korea equities,126,0.5,Europe,Equities
-0.005276347740976788,0.5,0.6448275862068965,1.289655172413793,290,29,0.3448275862068966,-0.29999999999999993,D1_tail_to_median,North_America_tmax_q90_exceed,CANE,Sugar ETF,42,0.5,North America,Agricultural
0.04351991997371086,0.49990917347865577,0.6431095406360424,1.286452769331909,283,22,0.6818181818181818,0.03870864118213935,D1_tail_to_median,Europe_tmax_q95_exceed,EWY,South Korea equities,126,0.5,Europe,Equities
